Name	Length	NumReads	NumReads	NumReads
BgISR7-00000	3810	0	0	1.30765
BgISR7-00001	4812	0	0	3.05276
BgISR7-00002	330	0	0	0
BgISR7-00003	153	0	0	0
BgISR7-00004	84	0	0	0
BgISR7-00005	69	0	0	0
BgISR7-00006	360	5	14	2
BgISR7-00007	132	0	0	0
BgISR7-00008	144	0	0	0.23107
BgISR7-00009	2235	32.3224	52.542	19.5429
BgISR7-00010	237	0	0	1.85039
BgISR7-00011	510	0	0	0
BgISR7-00012	606	2.81699e-05	0	0
BgISR7-00013	627	0	0	0
BgISR7-00014	1503	20	56	24
BgISR7-00015	468	112	240	170
BgISR7-00016	144	0	1	1
BgISR7-00017	2406	95	149	104
BgISR7-00018	1035	34	51	42
BgISR7-00019	3054	54	105	58
BgISR7-00020	345	14.11	15.2001	15.6293
BgISR7-00021	30	0	0	0
BgISR7-00022	264	16	21	16
BgISR7-00023	327	73	122	101
BgISR7-00024	666	198	397	241.5
BgISR7-00025	666	198	397	241.5
BgISR7-00026	636	21	17	8
BgISR7-00027	1140	35	65	54
BgISR7-00028	1260	21	42	24
BgISR7-00029	1002	17	36	17
BgISR7-00030	378	151	254	151
BgISR7-00031	3384	42	92	45
BgISR7-00032	1065	7	15	11
BgISR7-00033	960	9	21	34
BgISR7-00034	1029	34	64	43
BgISR7-00035	99	0	0.25	0
BgISR7-00036	687	312.879	589.626	352.322
BgISR7-00037	366	3.5	3.13743	2.375
BgISR7-00038	222	0	1	0
BgISR7-00039	3069	28	70	54
BgISR7-00040	687	15.1206	66.3744	35.6782
BgISR7-00041	945	185	333	188
BgISR7-00042	465	8	7	7
BgISR7-00043	1857	87	155	104
BgISR7-00044	2949	53	88	48
BgISR7-00045	315	0	0	0
BgISR7-00046	108	0	0	0
BgISR7-00047	504	52	108	58
BgISR7-00048	603	13	19	2
BgISR7-00049	366	3	2	2
BgISR7-00050	960	19	51	26
BgISR7-00051	603	47	65	36
BgISR7-00052	1458	17	53	43
BgISR7-00053	300	40	83	47
BgISR7-00054	705	37	85	49
BgISR7-00055	1956	85	121	67
BgISR7-00056	1890	68	117	80
BgISR7-00057	990	15	21	10
BgISR7-00058	462	31	76	48
BgISR7-00059	792	21	53	29
BgISR7-00060	750	36	49	34
BgISR7-00061	387	26	56	28
BgISR7-00062	669	53	76	63
BgISR7-00063	381	0	2	0
BgISR7-00064	306	0	0	0
BgISR7-00065	669	31	86	36
BgISR7-00066	1317	56	90	64
BgISR7-00067	1011	21	43	38
BgISR7-00068	1185	17	26	24
BgISR7-00069	657	3	16	3
BgISR7-00070	333	0	0	0
BgISR7-00071	2298	113	206	150
BgISR7-00072	1704	25	53	27
BgISR7-00073	4110	255	538	398
BgISR7-00074	552	1	4	4
BgISR7-00075	4659	56	92	84
BgISR7-00076	834	54	115	65
BgISR7-00077	2247	34	37	39
BgISR7-00078	1929	5	5	2
BgISR7-00079	441	0	7	0
BgISR7-00080	363	0	0	1
BgISR7-00081	240	1	2	0
BgISR7-00082	300	0	0	0
BgISR7-00083	159	0	0	0
BgISR7-00084	1635	135	231	155
BgISR7-00085	357	0	0	0
BgISR7-00086	741	16	41	26
BgISR7-00087	636	12	15	25
BgISR7-00088	360	9	29	21
BgISR7-00089	1053	19	23.8843	5
BgISR7-00090	162	0	0	0
BgISR7-00091	723	1009	1903	1271
BgISR7-00092	693	12	22	9
BgISR7-00093	1395	7	26	14
BgISR7-00094	435	32	63	50
BgISR7-00095	729	32	49	28
BgISR7-00096	2889	37	102	83
BgISR7-00097	1074	71	178	124
BgISR7-00098	492	117	211	119
BgISR7-00099	1188	31	26	20
BgISR7-00100	1182	28	44	54
BgISR7-00101	1137	7.71971	1.6218	6.46617
BgISR7-00102	1698	2.82861	0	0
BgISR7-00103	1134	9.28029	37.3782	15.5338
BgISR7-00104	1233	82	109	74
BgISR7-00105	1443	91	169	97
BgISR7-00106	2550	71	157	95
BgISR7-00107	1875	44	112	60
BgISR7-00108	2886	22	30	18
BgISR7-00109	1800	3	5.87797	1.55046
BgISR7-00110	279	8	6	2
BgISR7-00111	3711	28	62	35
BgISR7-00112	4584	56	119	75
BgISR7-00113	4662	39	79	49
BgISR7-00114	1107	6	14	9
BgISR7-00115	210	4	2	0
BgISR7-00116	2589	64	147	104
BgISR7-00117	1140	53	130	54
BgISR7-00118	450	58	60	53
BgISR7-00119	1728	100.593	197.19	137.2
BgISR7-00120	735	3.66667	17.6667	0
BgISR7-00121	144	1	3	1
BgISR7-00122	510	15	50	45
BgISR7-00123	198	0	0	0
BgISR7-00124	1728	120.407	206.81	156.8
BgISR7-00125	735	18.3333	35.3333	34
BgISR7-00126	66	0	0	0
BgISR7-00127	2271	3.76639	9	12
BgISR7-00128	459	0	1	3
BgISR7-00129	144	0	0	0.23107
BgISR7-00130	1086	33	53	28
BgISR7-00131	1497	18	31	13
BgISR7-00132	939	23	67	55
BgISR7-00133	675	36	93	68
BgISR7-00134	510	1.04423	0	0
BgISR7-00135	816	3.32487	6.29641	16.271
BgISR7-00136	99	0	0	0
BgISR7-00137	225	0	0	1.68464
BgISR7-00138	1071	30	84	51
BgISR7-00139	1326	43	76	47
BgISR7-00140	813	46	65	39
BgISR7-00141	1362	52	54	42
BgISR7-00142	810	27	74	59
BgISR7-00143	366	3.5	3.13743	2.375
BgISR7-00144	1701	13	18	24
BgISR7-00145	1272	41	89	68
BgISR7-00146	1815	9	34	16
BgISR7-00147	126	0	0	0
BgISR7-00148	324	0	0	0
BgISR7-00149	333	0	0	0
BgISR7-00150	3630	13	16.0451	9
BgISR7-00151	303	15	42	17
BgISR7-00152	2256	66	109	68
BgISR7-00153	855	0	0	1
BgISR7-00154	933	146	276	190
BgISR7-00155	3096	40	74	49
BgISR7-00156	4212	74	122	83
BgISR7-00157	879	3	14	5
BgISR7-00158	465	5	16	1
BgISR7-00159	462	7	5	14
BgISR7-00160	375	3	5	1
BgISR7-00161	1425	20	37	42
BgISR7-00162	1158	0	2	1
BgISR7-00163	42	0	0	0
BgISR7-00164	705	22	63	44
BgISR7-00165	2421	3	18	6
BgISR7-00166	807	9	16	17
BgISR7-00167	360	0	7	4
BgISR7-00168	444	1	3	1
BgISR7-00169	1158	34	51	44
BgISR7-00170	6291	411	648	446
BgISR7-00171	5595	315	562	351
BgISR7-00172	84	0	0	0
BgISR7-00173	1179	14	17	17
BgISR7-00174	729	17.9766	49.646	25.054
BgISR7-00175	1677	20	37	16
BgISR7-00176	957	7	15	15
BgISR7-00177	180	0	0	0
BgISR7-00178	2019	49	89	53
BgISR7-00179	192	0	0	0
BgISR7-00180	117	0	0	0
BgISR7-00181	174	2	0	1
BgISR7-00182	1203	27.5191	49.6954	45.4653
BgISR7-00183	1251	12	39	34
BgISR7-00184	5916	101	187	113
BgISR7-00185	1044	0	0	0
BgISR7-00186	573	13.0234	20.354	16.946
BgISR7-00187	174	1	1	0
BgISR7-00188	417	20	33	19
BgISR7-00189	360	121	213	113
BgISR7-00190	2055	42	65	54
BgISR7-00191	1488	25	80	61
BgISR7-00192	1224	8	25	17
BgISR7-00193	906	51	94	62
BgISR7-00194	453	2	13.7143	3
BgISR7-00195	816	0	0	0
BgISR7-00196	516	93	201	117
BgISR7-00197	816	22	39	32
BgISR7-00198	453	1	2.28571	3
BgISR7-00199	54	0	0	0
BgISR7-00200	372	0	0	0
BgISR7-00201	189	0	0	0
BgISR7-00202	234	0	0	0
BgISR7-00203	357	13	32	18
BgISR7-00204	507	394	671	457
BgISR7-00205	552	7	23	17
BgISR7-00206	2211	73	130	94
BgISR7-00207	522	15	37	36
BgISR7-00208	2577	52	93	64
BgISR7-00209	5064	2.75799	8.51964	8.54266
BgISR7-00210	726	19	34	18
BgISR7-00211	2226	27	81	51
BgISR7-00212	1743	45	101	90
BgISR7-00213	612	32	78	62
BgISR7-00214	1980	50	102	38
BgISR7-00215	2853	36	37	19
BgISR7-00216	1206	22	31	35
BgISR7-00217	603	14	17	16
BgISR7-00218	621	78	159	98
BgISR7-00219	270	32	63	37
BgISR7-00220	4446	29	54	28
BgISR7-00221	216	1	0	1
BgISR7-00222	264	0	0	0
BgISR7-00223	3705	66	100	101
BgISR7-00224	96	0	0	0
BgISR7-00225	1182	36	40	20
BgISR7-00226	843	6	4	7
BgISR7-00227	510	1	3	1
BgISR7-00228	315	8	12	12
BgISR7-00229	417	21	18	19
BgISR7-00230	279	494	968	706
BgISR7-00231	1554	62	97	58
BgISR7-00232	438	33	42	27
BgISR7-00233	2490	22	26	27
BgISR7-00234	1113	11	15	4
BgISR7-00235	2598	51	91	47
BgISR7-00236	288	3.9472	3.93733	0
BgISR7-00237	273	202	385.96	296.974
BgISR7-00238	252	21	72	36
BgISR7-00239	1359	0	0	0
BgISR7-00240	540	177	397	234
BgISR7-00241	1080	35	87	61
BgISR7-00242	2190	34	82	55
BgISR7-00243	393	0	0	0
BgISR7-00244	1611	0	3	2
BgISR7-00245	384	3	8	1
BgISR7-00246	630	0	0	1
BgISR7-00247	936	2	6	7
BgISR7-00248	582	1	2	3
BgISR7-00249	822	38	50	29
BgISR7-00250	1620	28	55	40
BgISR7-00251	96	0	0	0
BgISR7-00252	1680	7	9	11
BgISR7-00253	1167	31	55	26
BgISR7-00254	1629	173	307	224
BgISR7-00255	168	0	0.831571	0
BgISR7-00256	1461	54	96	66
BgISR7-00257	291	39	85	57
BgISR7-00258	1620	28	64	49
BgISR7-00259	855	16	19	12
BgISR7-00260	345	158	263	180
BgISR7-00261	339	16	39	32
BgISR7-00262	339	93	129	105
BgISR7-00263	402	10	20	11
BgISR7-00264	243	55	99	73
BgISR7-00265	1095	1.39892	2.0957	2.18789
BgISR7-00266	489	0	1	0
BgISR7-00267	420	94.5	211	157
BgISR7-00268	420	94.5	211	157
BgISR7-00269	489	0	1	0
BgISR7-00270	363	18	16	9
BgISR7-00271	342	0	0	0
BgISR7-00272	498	0	0	1
BgISR7-00273	459	7	12	1
BgISR7-00274	636	0	0	0
BgISR7-00275	819	0	2.0473	0
BgISR7-00276	303	25	33	40
BgISR7-00277	159	0	0	0
BgISR7-00278	303	126	234	164
BgISR7-00279	384	155	262	164
BgISR7-00280	303	26	69	49
BgISR7-00281	321	5	5	9
BgISR7-00282	393	0	0	1
BgISR7-00283	66	0	0	0
BgISR7-00284	129	0	0	0
BgISR7-00285	195	0	0	1
BgISR7-00286	243	11	25	14
BgISR7-00287	15	0	0	0
BgISR7-00288	384	183	354	260
BgISR7-00289	144	0	0	0.23107
BgISR7-00290	288	0	0	0
BgISR7-00291	228	0	0	0
BgISR7-00292	333	134.5	272.5	183.5
BgISR7-00293	333	134.5	272.5	183.5
BgISR7-00294	240	5	30	8
BgISR7-00295	615	1	4	3
BgISR7-00296	186	0	0	0
BgISR7-00297	180	0	0	0
BgISR7-00298	552	0	4	7
BgISR7-00299	168	0	0	1
BgISR7-00300	279	5	10	11
BgISR7-00301	2235	27.7199	35.1796	47.2286
BgISR7-00302	1329	151	241	185
BgISR7-00303	354	0	3.21309	2.05986
BgISR7-00304	168	0	0	0
BgISR7-00305	963	0	0	0
BgISR7-00306	198	0	0	0
BgISR7-00307	84	0	0	0
BgISR7-00308	171	0	2	1
BgISR7-00309	363	50	76.7869	70.9401
BgISR7-00310	1890	28	40	27
BgISR7-00311	1809	45	72	44
BgISR7-00312	2502	30	45	50
BgISR7-00313	2025	37	66.5783	35.2516
BgISR7-00314	1257	4.72604	0	0
BgISR7-00315	264	0	0	0.477851
BgISR7-00316	117	0	0	0
BgISR7-00317	1434	0	0	1.19725
BgISR7-00318	4269	0	6.85216	0
BgISR7-00319	237	1	0	1
BgISR7-00320	666	124	217	174
BgISR7-00321	150	0	0	0
BgISR7-00322	963	22	23	21
BgISR7-00323	1173	11	24	20
BgISR7-00324	3078	27	67	56
BgISR7-00325	318	8	9	13
BgISR7-00326	1452	39	77	45
BgISR7-00327	978	19	45	18
BgISR7-00328	195	0	0	0
BgISR7-00329	1416	2	1	0
BgISR7-00330	2400	28	65	54
BgISR7-00331	405	95	208	123
BgISR7-00332	81	0	5	1
BgISR7-00333	195	1	0.5	2.06691
BgISR7-00334	195	1	2	0
BgISR7-00335	657	2	7	8
BgISR7-00336	612	7	6	7
BgISR7-00337	789	25	37	24
BgISR7-00338	1095	0	0	0
BgISR7-00339	864	24	34	29
BgISR7-00340	942	40	46	29
BgISR7-00341	855	57	73	53
