seq_id	start	end	name	class	strand	fam
Bgt_chr-11	2499590	2499999	BgtE-20090	E014	+	B
Bgt_chr-11	2613270	2614921	BgtA-21302	NonEff	-	C
Bgt_chr-11	2622704	2624266	BgtA-21303	NonEff	+	C
Bgt_chr-11	2660699	2661079	Bgt-50847	E003	-	A
Bgt_chr-11	2690847	2691244	BgtE-20030	E003	+	A
Bgt_chr-11	2697549	2697958	Bgt-50246	E014	+	B
Bgt_chr-11	2721221	2721526	Bgt-50248	NonEff	+	C
Bgt_chr-11	2747976	2748369	Bgt-50249	E003	+	A
Bgt_chr-11	2753600	2753994	Bgt-50245	E003	+	A
Bgt_chr-11	2757400	2757794	BgtAcSP-30541	E003	-	A
Bgt_chr-11	2787337	2787731	Bgt-50250	E003	-	A
Bgt_chr-11	2836063	2836460	BgtE-20029	E003	-	A
ISR7_chr-11	2878943	2879352	BgISR7-10061	E014	+	B
ISR7_chr-11	3010363	3012014	BgISR7-10064	NonEff	-	C
ISR7_chr-11	3019797	3021359	BgISR7-10065	NonEff	+	C
ISR7_chr-11	3051754	3052134	BgISR7-10067	E003	-	A
ISR7_chr-11	3090563	3090960	BgISR7-10069	E003	+	A
ISR7_chr-11	3097910	3098319	BgISR7-10070	E014	+	B
ISR7_chr-11	3121590	3121895	BgISR7-10071	NonEff	+	C
ISR7_chr-11	3159088	3159481	BgISR7-10072	E003	+	A
ISR7_chr-11	3164712	3165106	BgISR7-10073	E003	+	A
ISR7_chr-11	3168512	3168906	BgISR7-10074	E003	-	A
ISR7_chr-11	3198448	3198842	BgISR7-10075	E003	-	A
ISR7_chr-11	3246195	3246592	BgISR7-10076	E003	-	A
